time	V(C)
4.285728571428572e-02	1.048499e+00
4.308582857142858e-02	1.012757e+00
4.331437142857143e-02	9.782069e-01
4.354291428571429e-02	9.448490e-01
4.377145714285715e-02	9.126835e-01
4.400000000000000e-02	8.817102e-01
4.400010000000000e-02	8.817351e-01
4.440010000000000e-02	1.123915e+00
4.440020000000000e-02	1.123935e+00
4.440224399999999e-02	1.123587e+00
4.463049485714284e-02	1.085507e+00
4.485874571428571e-02	1.048616e+00
4.508699657142856e-02	1.012915e+00
4.531524742857142e-02	9.784031e-01
4.554349828571428e-02	9.450806e-01
4.577174914285714e-02	9.129475e-01
4.600000000000000e-02	8.820039e-01
4.600010000000000e-02	8.820288e-01
4.640010000000000e-02	1.124191e+00
4.640020000000000e-02	1.124212e+00
4.662874285714286e-02	1.086063e+00
4.685728571428572e-02	1.049107e+00
4.708582857142857e-02	1.013344e+00
4.731437142857143e-02	9.787734e-01
4.754291428571429e-02	9.453962e-01
4.777145714285715e-02	9.132120e-01
4.800000000000000e-02	8.822208e-01
4.800010000000000e-02	8.822457e-01
4.840010000000000e-02	1.124395e+00
4.840020000000000e-02	1.124416e+00
4.862871428571429e-02	1.086265e+00
4.885722857142857e-02	1.049306e+00
4.908574285714286e-02	1.013541e+00
4.931425714285714e-02	9.789681e-01
4.954277142857143e-02	9.455884e-01
4.977128571428571e-02	9.134016e-01
4.999980000000000e-02	8.824078e-01
4.999990000000000e-02	8.823944e-01
5.000000000000000e-02	8.823810e-01
