time	VR	Vout	Vin
1.680343214254599e-03	-5.381379e-01	4.609255e-01	-7.721237e-02
1.684807499968885e-03	-5.511415e-01	4.487498e-01	-1.023917e-01
1.694294107111742e-03	-5.777098e-01	4.217626e-01	-1.559472e-01
1.703780714254599e-03	-6.024540e-01	3.937723e-01	-2.086817e-01
1.713267321397456e-03	-6.253741e-01	3.647788e-01	-2.605952e-01
1.722753928540313e-03	-6.464700e-01	3.347822e-01	-3.116877e-01
1.732240535683170e-03	-6.657417e-01	3.037825e-01	-3.619592e-01
1.741727142826027e-03	-6.831893e-01	2.717797e-01	-4.114097e-01
1.751213749968885e-03	-6.988128e-01	2.387737e-01	-4.600391e-01
1.759026249968885e-03	-7.100884e-01	2.111148e-01	-4.989736e-01
1.766838749968885e-03	-7.199388e-01	1.831821e-01	-5.367567e-01
1.774651249968885e-03	-7.283639e-01	1.549754e-01	-5.733885e-01
1.782463749968885e-03	-7.353636e-01	1.264949e-01	-6.088688e-01
1.790276249968885e-03	-7.409381e-01	9.774046e-02	-6.431977e-01
1.798088749968885e-03	-7.450873e-01	6.871215e-02	-6.763752e-01
1.805901249968885e-03	-7.478113e-01	3.940995e-02	-7.084013e-01
1.810365535683171e-03	-7.486946e-01	2.268105e-02	-7.260136e-01
1.814829821397456e-03	-7.491012e-01	5.964358e-03	-7.431368e-01
1.819294107111742e-03	-7.490309e-01	-1.074011e-02	-7.597710e-01
1.823758392826028e-03	-7.484838e-01	-2.743237e-02	-7.759162e-01
1.828222678540313e-03	-7.474599e-01	-4.411240e-02	-7.915723e-01
1.832686964254599e-03	-7.459592e-01	-6.078022e-02	-8.067394e-01
1.837151249968885e-03	-7.439816e-01	-7.743582e-02	-8.214175e-01
1.847195892826028e-03	-7.377060e-01	-1.149443e-01	-8.526503e-01
1.857240535683171e-03	-7.291421e-01	-1.517909e-01	-8.809330e-01
1.867285178540313e-03	-7.182898e-01	-1.879758e-01	-9.062656e-01
1.877329821397456e-03	-7.051492e-01	-2.234988e-01	-9.286480e-01
1.887374464254599e-03	-6.897203e-01	-2.583600e-01	-9.480803e-01
1.897419107111742e-03	-6.720030e-01	-2.925594e-01	-9.645625e-01
1.907463749968885e-03	-6.519974e-01	-3.260970e-01	-9.780945e-01
1.922530714254599e-03	-6.174348e-01	-3.746981e-01	-9.921329e-01
1.937597678540313e-03	-5.791668e-01	-4.198360e-01	-9.990028e-01
